Bateria_descarregar,Bateria_carregar,potencia_REDE,SoC,PV_ref,custo_energia,Q_rede,Q_bat_PU,P_bat_PU,V_PCC
0.0,0.0,224.0,0.79934484,0.0,0.47,-58.927275,0.6797091,0.0,1.0
0.0,0.0,222.9,0.79934484,0.0,0.47,-58.927275,0.6810411,0.0,1.0
0.0,0.0,222.0,0.79934484,0.0,0.47,-58.927275,0.6823771,0.0,1.0
0.0,0.0,221.0,0.79934484,0.0,0.47,-58.927275,0.6837091,0.0,1.0
0.0,0.0,221.1,0.79934484,0.0,0.47,-58.927275,0.6817091,0.0,1.0
0.0,0.0,221.3,0.79934484,0.0,0.47,-58.927275,0.6797091,0.0,1.0
0.0,0.0,221.5,0.79934484,0.0,0.47,-58.927275,0.6777091,0.0,1.0
0.0,0.0,221.6,0.79934484,0.0,0.47,-58.927275,0.6757091,0.0,1.0
0.0,0.0,221.8,0.79934484,0.0,0.47,-58.927275,0.6737091,0.0,1.0
0.0,0.0,222.0,0.79934484,0.0,0.47,-58.927275,0.6717091,0.0,1.0
0.0,0.0,221.6,0.79934484,0.0,0.47,-58.927275,0.6717091,0.0,1.0
0.64309813,0.0,220.6569,0.79934484,0.0,0.47,-58.927275,0.6717091,0.0025723925,1.0
0.022383973,0.0,220.97762,0.79914547,0.022383973002433773,0.47,-58.927275,0.6717091,8.9535892e-05,1.0
0.19358072,0.0,220.40642,0.79913853,0.19358071982860564,0.47,-58.927275,0.6717091,0.00077432288,1.0
0.45960021,0.0,219.8404,0.79907851,0.4596002101898194,0.47,-58.927275,0.6717091,0.0018384008,1.0
0.78256403,0.0,219.21744,0.79893602,0.7825640261173248,0.47,-58.927275,0.6717091,0.0031302561,1.0
1.0707424,0.0,215.02926,0.79869341,1.07074236869812,0.47,-58.927275,0.6663771,0.0042829695,1.0
1.3769443,0.0,210.92306,0.79836145,1.3769442796707154,0.47,-58.927275,0.6610411,0.0055077771,1.0
1.6053515,0.0,206.89465,0.79793456,1.6053515434265138,0.47,-58.927275,0.6557091,0.0064214062,1.0
1.7764143,0.0,202.82359,0.79743686,1.7764142721891405,0.47,-58.927275,0.6503771,0.0071056571,1.0
1.8661773,0.0,198.93382,0.79688613,1.8661773055791853,0.47,-58.927275,0.6450411,0.0074647092,1.0
1.8561773,0.0,195.14382,0.79630756,1.8561817079782488,0.47,-58.927275,0.6397091,0.0074247092,1.0
1.7463292,0.0,190.65367,0.7957321,1.7463291734457016,0.47,-58.927275,0.6277091,0.0069853167,1.0
1.5565698,0.0,186.44343,0.79519069,1.5565698385238649,0.47,-58.927275,0.6157091,0.0062262794,1.0
0.0,0.42016483,181.52016,0.79470811,1.9798351699113843,0.47,-58.927275,0.6037091,-0.0016806593,1.0
0.0,2.7415412,175.04154,0.79482816,3.858458822965622,0.47,-58.927275,0.5917091,-0.010966165,1.0
0.0,1.6442804,167.54428,0.79561148,6.9557195758819566,0.47,-58.927275,0.5797091,-0.0065771217,1.0
0.0,1.0810662,158.28107,0.79608128,11.718933811187744,0.47,-58.927275,0.5677091,-0.0043242648,1.0
0.45044209,0.0,153.74956,0.79639016,17.550442085266113,0.47,-58.927275,0.5763731,0.0018017683,1.0
1.5241682,0.0,150.47583,0.79625051,22.124168167114252,0.47,-58.927275,0.5850451,0.0060966727,1.0
0.0,0.22156956,147.42157,0.79577798,26.57843044281005,0.47,-58.927275,0.5937091,-0.00088627823,1.0
0.0,0.46738705,144.66739,0.79584129,30.632612953186037,0.47,-58.927275,0.6023731,-0.0018695482,1.0
0.0,1.0279915,142.12799,0.79597483,34.47200851440429,0.47,-58.927275,0.6110451,-0.0041119659,1.0
0.0,1.4440512,139.74405,0.79626855,38.2559487915039,0.47,-58.927275,0.6197091,-0.0057762048,1.0
2.0286792,0.0,145.57132,0.79668114,40.92867919921874,0.47,-58.927275,0.6290411,0.0081147168,1.0
0.0,2.9062495,150.60625,0.7960522,44.293750457763664,0.47,-58.927275,0.6383771,-0.011624998,1.0
0.0,3.6837315,155.78373,0.79688257,47.71626846313475,0.47,-58.927275,0.6477091,-0.014734926,1.0
0.0,3.9296894,160.92969,0.79793509,51.07031059265136,0.47,-58.927275,0.6570411,-0.015718758,1.0
0.0,3.2973533,165.19735,0.79905788,54.815691146850575,0.47,-58.927275,0.6663771,-0.013189413,1.0
