#timPSTamp,	constant_power_A,constant_power_C
2017-11-05 05:20:00,178.64+91.47j,178.64+91.47j
2017-11-05 05:30:00,178.4+91.2j,178.4+91.2j
2017-11-05 05:40:00,178.08+90.93j,178.08+90.93j
2017-11-05 05:50:00,177.84+90.67j,177.84+90.67j
2017-11-05 06:00:00,177.6+90.4j,177.6+90.4j
2017-11-05 06:10:00,175.04+89.2j,175.04+89.2j
2017-11-05 06:20:00,172.48+88j,172.48+88j
2017-11-05 06:30:00,170+86.8j,170+86.8j
2017-11-05 06:40:00,167.44+85.6j,167.44+85.6j
2017-11-05 06:50:00,164.88+84.4j,164.88+84.4j
2017-11-05 07:00:00,162.4+83.2j,162.4+83.2j
2017-11-05 07:10:00,152.32+80.8j,152.32+80.8j
2017-11-05 07:20:00,142.4+78.4j,142.4+78.4j
2017-11-05 07:30:00,132.4+76j,132.4+76j
2017-11-05 07:40:00,122.32+73.6j,122.32+73.6j
2017-11-05 07:50:00,112.4+71.2j,112.4+71.2j
2017-11-05 08:00:00,102.4+68.8j,102.4+68.8j
2017-11-05 08:10:00,103.44+69.07j,103.44+69.07j
2017-11-05 08:20:00,104.48+69.33j,104.48+69.33j
2017-11-05 08:30:00,105.6+69.6j,105.6+69.6j
2017-11-05 08:40:00,106.64+69.87j,106.64+69.87j
2017-11-05 08:50:00,107.68+70.13j,107.68+70.13j
2017-11-05 09:00:00,108.8+70.4j,108.8+70.4j
2017-11-05 09:10:00,110.64+70.27j,110.64+70.27j
2017-11-05 09:20:00,112.48+70.13j,112.48+70.13j
2017-11-05 09:30:00,114.4+70j,114.4+70j
2017-11-05 09:40:00,116.24+69.87j,116.24+69.87j
2017-11-05 09:50:00,118.08+69.73j,118.08+69.73j
2017-11-05 10:00:00,120+69.6j,120+69.6j
2017-11-05 10:10:00,121.28+69.87j,121.28+69.87j
2017-11-05 10:20:00,122.64+70.13j,122.64+70.13j
2017-11-05 10:30:00,124+70.4j,124+70.4j
2017-11-05 10:40:00,125.28+70.67j,125.28+70.67j
2017-11-05 10:50:00,126.64+70.93j,126.64+70.93j
2017-11-05 11:00:00,128+71.2j,128+71.2j
2017-11-05 11:10:00,127.68+71.2j,127.68+71.2j
2017-11-05 11:20:00,127.44+71.2j,127.44+71.2j
2017-11-05 11:30:00,127.2+71.2j,127.2+71.2j
2017-11-05 11:40:00,126.88+71.2j,126.88+71.2j
2017-11-05 11:50:00,126.64+71.2j,126.64+71.2j
2017-11-05 12:00:00,126.4+71.2j,126.4+71.2j
2017-11-05 12:10:00,125.84+71.73j,125.84+71.73j
2017-11-05 12:20:00,125.28+72.27j,125.28+72.27j
2017-11-05 12:30:00,124.8+72.8j,124.8+72.8j
2017-11-05 12:40:00,124.24+73.33j,124.24+73.33j
2017-11-05 12:50:00,123.68+73.87j,123.68+73.87j
2017-11-05 13:00:00,123.2+74.4j,123.2+74.4j
2017-11-05 13:10:00,123.12+74.93j,123.12+74.93j
2017-11-05 13:20:00,123.2+75.47j,123.2+75.47j
2017-11-05 13:30:00,123.2+76j,123.2+76j
2017-11-05 13:40:00,123.12+76.53j,123.12+76.53j
2017-11-05 13:50:00,123.2+77.07j,123.2+77.07j
2017-11-05 14:00:00,123.2+77.6j,123.2+77.6j
2017-11-05 14:10:00,124.48+77.6j,124.48+77.6j
2017-11-05 14:20:00,125.84+77.6j,125.84+77.6j
2017-11-05 14:30:00,127.2+77.6j,127.2+77.6j
2017-11-05 14:40:00,128.48+77.6j,128.48+77.6j
2017-11-05 14:50:00,129.84+77.6j,129.84+77.6j
2017-11-05 15:00:00,131.2+77.6j,131.2+77.6j
2017-11-05 15:10:00,130.4+77.73j,130.4+77.73j
2017-11-05 15:20:00,129.6+77.87j,129.6+77.87j
2017-11-05 15:30:00,128.8+78j,128.8+78j
2017-11-05 15:40:00,128+78.13j,128+78.13j
2017-11-05 15:50:00,127.2+78.27j,127.2+78.27j
2017-11-05 16:00:00,126.4+78.4j,126.4+78.4j
2017-11-05 16:10:00,126.64+78.53j,126.64+78.53j
2017-11-05 16:20:00,126.88+78.67j,126.88+78.67j
2017-11-05 16:30:00,127.2+78.8j,127.2+78.8j
2017-11-05 16:40:00,127.44+78.93j,127.44+78.93j
2017-11-05 16:50:00,127.68+79.07j,127.68+79.07j
2017-11-05 17:00:00,128+79.2j,128+79.2j
2017-11-05 17:10:00,128.88+79.07j,128.88+79.07j
2017-11-05 17:20:00,129.84+78.93j,129.84+78.93j
2017-11-05 17:30:00,130.8+78.8j,130.8+78.8j
2017-11-05 17:40:00,131.68+78.67j,131.68+78.67j
2017-11-05 17:50:00,132.64+78.53j,132.64+78.53j
2017-11-05 18:00:00,133.6+78.4j,133.6+78.4j
2017-11-05 18:10:00,136.24+78j,136.24+78j
2017-11-05 18:20:00,138.88+77.6j,138.88+77.6j
2017-11-05 18:30:00,141.6+77.2j,141.6+77.2j
2017-11-05 18:40:00,144.24+76.8j,144.24+76.8j
2017-11-05 18:50:00,146.88+76.4j,146.88+76.4j
2017-11-05 19:00:00,149.6+76j,149.6+76j
2017-11-05 19:10:00,153.28+76.8j,153.28+76.8j
2017-11-05 19:20:00,157.04+77.6j,157.04+77.6j
2017-11-05 19:30:00,160.8+78.4j,160.8+78.4j
2017-11-05 19:40:00,164.48+79.2j,164.48+79.2j
2017-11-05 19:50:00,168.24+80j,168.24+80j
2017-11-05 20:00:00,172+80.8j,172+80.8j
2017-11-05 20:10:00,189.04+85.73j,189.04+85.73j
2017-11-05 20:20:00,206.08+90.67j,206.08+90.67j
2017-11-05 20:30:00,223.2+95.6j,223.2+95.6j
2017-11-05 20:40:00,240.24+100.53j,240.24+100.53j
