#timPSTamp,	constant_power_A,constant_power_C
2017-11-05 02:40:00,404.78+203.58j,404.78+203.58j
2017-11-05 02:50:00,401.8+202.42j,401.8+202.42j
2017-11-05 03:00:00,399+201.25j,399+201.25j
2017-11-05 03:10:00,398.3+202.42j,398.3+202.42j
2017-11-05 03:20:00,397.78+203.58j,397.78+203.58j
2017-11-05 03:30:00,397.25+204.75j,397.25+204.75j
2017-11-05 03:40:00,396.55+205.92j,396.55+205.92j
2017-11-05 03:50:00,396.03+207.08j,396.03+207.08j
2017-11-05 04:00:00,395.5+208.25j,395.5+208.25j
2017-11-05 04:10:00,394.8+207.08j,394.8+207.08j
2017-11-05 04:20:00,394.28+205.92j,394.28+205.92j
2017-11-05 04:30:00,393.75+204.75j,393.75+204.75j
2017-11-05 04:40:00,393.05+203.58j,393.05+203.58j
2017-11-05 04:50:00,392.53+202.42j,392.53+202.42j
2017-11-05 05:00:00,392+201.25j,392+201.25j
2017-11-05 05:10:00,391.3+200.67j,391.3+200.67j
2017-11-05 05:20:00,390.78+200.08j,390.78+200.08j
2017-11-05 05:30:00,390.25+199.5j,390.25+199.5j
2017-11-05 05:40:00,389.55+198.92j,389.55+198.92j
2017-11-05 05:50:00,389.03+198.33j,389.03+198.33j
2017-11-05 06:00:00,388.5+197.75j,388.5+197.75j
2017-11-05 06:10:00,382.9+195.13j,382.9+195.13j
2017-11-05 06:20:00,377.3+192.5j,377.3+192.5j
2017-11-05 06:30:00,371.88+189.88j,371.88+189.88j
2017-11-05 06:40:00,366.28+187.25j,366.28+187.25j
2017-11-05 06:50:00,360.68+184.63j,360.68+184.63j
2017-11-05 07:00:00,355.25+182j,355.25+182j
2017-11-05 07:10:00,333.2+176.75j,333.2+176.75j
2017-11-05 07:20:00,311.5+171.5j,311.5+171.5j
2017-11-05 07:30:00,289.63+166.25j,289.63+166.25j
2017-11-05 07:40:00,267.58+161j,267.58+161j
2017-11-05 07:50:00,245.88+155.75j,245.88+155.75j
2017-11-05 08:00:00,224+150.5j,224+150.5j
2017-11-05 08:10:00,226.28+151.08j,226.28+151.08j
2017-11-05 08:20:00,228.55+151.67j,228.55+151.67j
2017-11-05 08:30:00,231+152.25j,231+152.25j
2017-11-05 08:40:00,233.28+152.83j,233.28+152.83j
2017-11-05 08:50:00,235.55+153.42j,235.55+153.42j
2017-11-05 09:00:00,238+154j,238+154j
2017-11-05 09:10:00,242.03+153.71j,242.03+153.71j
2017-11-05 09:20:00,246.05+153.42j,246.05+153.42j
2017-11-05 09:30:00,250.25+153.13j,250.25+153.13j
2017-11-05 09:40:00,254.28+152.83j,254.28+152.83j
2017-11-05 09:50:00,258.3+152.54j,258.3+152.54j
2017-11-05 10:00:00,262.5+152.25j,262.5+152.25j
2017-11-05 10:10:00,265.3+152.83j,265.3+152.83j
2017-11-05 10:20:00,268.28+153.42j,268.28+153.42j
2017-11-05 10:30:00,271.25+154j,271.25+154j
2017-11-05 10:40:00,274.05+154.58j,274.05+154.58j
2017-11-05 10:50:00,277.03+155.17j,277.03+155.17j
2017-11-05 11:00:00,280+155.75j,280+155.75j
2017-11-05 11:10:00,279.3+155.75j,279.3+155.75j
2017-11-05 11:20:00,278.78+155.75j,278.78+155.75j
2017-11-05 11:30:00,278.25+155.75j,278.25+155.75j
2017-11-05 11:40:00,277.55+155.75j,277.55+155.75j
2017-11-05 11:50:00,277.03+155.75j,277.03+155.75j
2017-11-05 12:00:00,276.5+155.75j,276.5+155.75j
2017-11-05 12:10:00,275.28+156.92j,275.28+156.92j
2017-11-05 12:20:00,274.05+158.08j,274.05+158.08j
2017-11-05 12:30:00,273+159.25j,273+159.25j
2017-11-05 12:40:00,271.78+160.42j,271.78+160.42j
2017-11-05 12:50:00,270.55+161.58j,270.55+161.58j
2017-11-05 13:00:00,269.5+162.75j,269.5+162.75j
2017-11-05 13:10:00,269.33+163.92j,269.33+163.92j
2017-11-05 13:20:00,269.5+165.08j,269.5+165.08j
2017-11-05 13:30:00,269.5+166.25j,269.5+166.25j
2017-11-05 13:40:00,269.33+167.42j,269.33+167.42j
2017-11-05 13:50:00,269.5+168.58j,269.5+168.58j
2017-11-05 14:00:00,269.5+169.75j,269.5+169.75j
2017-11-05 14:10:00,272.3+169.75j,272.3+169.75j
2017-11-05 14:20:00,275.28+169.75j,275.28+169.75j
2017-11-05 14:30:00,278.25+169.75j,278.25+169.75j
2017-11-05 14:40:00,281.05+169.75j,281.05+169.75j
2017-11-05 14:50:00,284.03+169.75j,284.03+169.75j
2017-11-05 15:00:00,287+169.75j,287+169.75j
2017-11-05 15:10:00,285.25+170.04j,285.25+170.04j
2017-11-05 15:20:00,283.5+170.33j,283.5+170.33j
2017-11-05 15:30:00,281.75+170.63j,281.75+170.63j
2017-11-05 15:40:00,280+170.92j,280+170.92j
2017-11-05 15:50:00,278.25+171.21j,278.25+171.21j
2017-11-05 16:00:00,276.5+171.5j,276.5+171.5j
2017-11-05 16:10:00,277.03+171.79j,277.03+171.79j
2017-11-05 16:20:00,277.55+172.08j,277.55+172.08j
2017-11-05 16:30:00,278.25+172.38j,278.25+172.38j
2017-11-05 16:40:00,278.78+172.67j,278.78+172.67j
2017-11-05 16:50:00,279.3+172.96j,279.3+172.96j
2017-11-05 17:00:00,280+173.25j,280+173.25j
2017-11-05 17:10:00,281.93+172.96j,281.93+172.96j
2017-11-05 17:20:00,284.03+172.67j,284.03+172.67j
2017-11-05 17:30:00,286.13+172.38j,286.13+172.38j
2017-11-05 17:40:00,288.05+172.08j,288.05+172.08j
2017-11-05 17:50:00,290.15+171.79j,290.15+171.79j
2017-11-05 18:00:00,292.25+171.5j,292.25+171.5j
2017-11-05 18:10:00,298.03+170.63j,298.03+170.63j
2017-11-05 18:20:00,303.8+169.75j,303.8+169.75j
2017-11-05 18:30:00,309.75+168.88j,309.75+168.88j
2017-11-05 18:40:00,315.53+168j,315.53+168j
2017-11-05 18:50:00,321.3+167.13j,321.3+167.13j
2017-11-05 19:00:00,327.25+166.25j,327.25+166.25j
