# file...... Medidor_potencia_inverosr_bateria.txt
# date...... Thu Nov 11 11:34:45 2021
# user...... leona
# host...... (null)
# target.... meter 20
# trigger... (none)
# interval.. 600
# limit..... 0
# timestamp,measured_real_power, measured_reactive_power
2017-11-04 20:40:00 PDT,+0,-176927
2017-11-04 20:50:00 PDT,-16610,-183427
2017-11-04 21:00:00 PDT,-37010,-189927
2017-11-04 21:10:00 PDT,-33010,-188924
2017-11-04 21:20:00 PDT,-28910,-187927
2017-11-04 21:30:00 PDT,-25010,-186927
2017-11-04 21:40:00 PDT,-21010,-185927
2017-11-04 21:50:00 PDT,-16910,-184927
2017-11-04 22:00:00 PDT,-13010,-183927
2017-11-04 22:10:00 PDT,-10810,-183760
2017-11-04 22:20:00 PDT,-8610,-183594
2017-11-04 22:30:00 PDT,-6510,-183427
2017-11-04 22:40:00 PDT,-4310,-183260
2017-11-04 22:50:00 PDT,-2110,-183094
2017-11-04 23:00:00 PDT,-10,-182927
2017-11-04 23:10:00 PDT,+5090,-181261
2017-11-04 23:20:00 PDT,+9990,-179593
2017-11-04 23:30:00 PDT,+14990,-177927
2017-11-04 23:40:00 PDT,+20090,-176261
2017-11-04 23:50:00 PDT,+24990,-174593
2017-11-05 00:00:00 PDT,+29990,-172927
2017-11-05 00:10:00 PDT,+32690,-173261
2017-11-05 00:20:00 PDT,+35390,-173593
2017-11-05 00:30:00 PDT,+37990,-173927
2017-11-05 00:40:00 PDT,+40690,-174261
2017-11-05 00:50:00 PDT,+43390,-174593
2017-11-05 01:00:00 PDT,+45990,-174927
2017-11-05 01:10:00 PDT,+37107.1,-175427
2017-11-05 01:20:00 PDT,+123.951,-175927
2017-11-05 01:30:00 PDT,+3.63798e-012,-176427
2017-11-05 01:40:00 PDT,+2.27374e-013,-176927
2017-11-05 01:50:00 PDT,+16.3553,-177427
2017-11-05 02:00:00 PDT,+281.951,-177927
2017-11-05 02:10:00 PDT,+3.41061e-012,-177260
2017-11-05 02:20:00 PDT,-3.63798e-012,-176594
2017-11-05 02:30:00 PDT,+0,-175927
2017-11-05 02:40:00 PDT,+299.699,-175260
2017-11-05 02:50:00 PDT,+0.798845,-174594
2017-11-05 02:00:00 PST,+234.467,-173927
2017-11-05 02:10:00 PST,-2.27374e-013,-174593
2017-11-05 02:20:00 PST,-3.63798e-012,-175261
2017-11-05 02:30:00 PST,-2.27374e-013,-175927
2017-11-05 02:40:00 PST,+7.27596e-012,-176593
2017-11-05 02:50:00 PST,-3.63798e-012,-177261
2017-11-05 03:00:00 PST,-3.86535e-012,-177927
2017-11-05 03:10:00 PST,-3.41061e-012,-177260
2017-11-05 03:20:00 PST,+0,-176594
2017-11-05 03:30:00 PST,-3.63798e-012,-175927
2017-11-05 03:40:00 PST,+0,-175260
2017-11-05 03:50:00 PST,+3.75167e-012,-174594
2017-11-05 04:00:00 PST,-3.52429e-012,-173927
2017-11-05 04:10:00 PST,-3.63798e-012,-173594
2017-11-05 04:20:00 PST,+3.63798e-012,-173260
2017-11-05 04:30:00 PST,-1.13687e-013,-172927
2017-11-05 04:40:00 PST,-1.13687e-013,-172594
2017-11-05 04:50:00 PST,+3.52429e-012,-172260
2017-11-05 05:00:00 PST,-720.752,-171927
2017-11-05 05:10:00 PST,-181.093,-170427
2017-11-05 05:20:00 PST,-494.769,-168927
2017-11-05 05:30:00 PST,-876.211,-167427
2017-11-05 05:40:00 PST,-1300.81,-165927
2017-11-05 05:50:00 PST,-1742.5,-164427
2017-11-05 06:00:00 PST,-2149.91,-162927
2017-11-05 06:10:00 PST,-2563.86,-159927
2017-11-05 06:20:00 PST,-2916.27,-156927
2017-11-05 06:30:00 PST,-1756.33,-153927
2017-11-05 06:40:00 PST,+363.312,-150927
