Pot_descarga_bateria,Pot_carga_bateria,potencia_demandada_REDE,SOC,P_ref,custo_energia,Q_rede,Q_bat_PU,P_bat_PU,V_PCC
0.82780652,0.0,246.81631,0.70725617,0.8278065204620362,1.0,-58.01233,0.99,0.0033112261,0.99993013
0.22934985,0.0,249.69404,0.70699953,0.2293498516082764,1.0,-57.01404,0.99,0.00091739941,0.9998539
0.0,0.0,253.3749,0.70692843,0.0,1.0,-57.51259,0.99,0.0,0.99989197
0.0,0.0,257.6217,0.70692843,0.0,1.0,-57.03621,0.99,0.0,0.99985559
0.0,0.0,263.02652,0.70692843,0.0,1.0,-57.8971,0.99,0.0,0.99992133
0.0,0.0,269.511,0.70692843,0.0,1.0,-57.6673,0.99,0.0,0.99990378
0.0,0.0,277.05212,0.70692843,0.0,1.0,-57.79408,0.99,0.0,0.99991346
0.0,0.0,285.14084,0.70692843,0.0,1.0,-58.22668,0.99,0.0,0.9999465
0.0,0.0,294.01318,0.70692843,0.0,1.0,-58.65451,0.99,0.0,0.99997917
4.05797,0.0,299.99,0.70692843,0.0,1.0,-58.927275,0.98738178,0.01623188,1.0
14.2227,0.0,299.99,0.70567035,0.0,1.0,-58.927275,0.98614094,0.0568908,1.0
24.38872,0.0,299.99,0.70126094,0.0,1.0,-58.927275,0.9827693,0.09755488,1.0
34.75185,0.0,299.99,0.69369981,0.0,1.0,-58.927275,0.9794597,0.1390074,1.0
44.62514,0.0,299.99,0.68292583,0.0,1.0,-58.927275,0.97495282,0.17850056,1.0
53.78057,0.0,299.99,0.66909087,0.0,1.0,-58.927275,0.9703467,0.21512228,1.0
73.376577,0.0,288.63056,0.65241749,0.0,1.0,-56.611236,0.95684342,0.29350631,0.99982313
173.37658,0.0,195.85917,0.62966884,0.0,1.0,1.0722736,0.72138907,0.69350631,0.99541812
75.52028,0.0,299.99,0.57591759,0.0,0.65,-58.335757,0.95417391,0.30208112,0.99995483
80.68712,0.0,299.99,0.55250434,0.0,0.65,-57.984922,0.94773973,0.32274848,0.99992804
84.29693,0.0,299.99,0.52748923,0.0,0.65,-58.080703,0.94324449,0.33718772,0.99993535
86.6835,0.0,299.99,0.50135499,0.0,0.65,-58.357092,0.93975309,0.346734,0.99995646
87.79458,0.0,299.99,0.47448084,0.0,0.65,-58.927275,0.93753302,0.35117832,1.0
87.91958,0.0,299.99,0.44726224,0.0,0.65,-58.927275,0.93326494,0.35167832,1.0
86.6947,0.0,299.99,0.42000488,0.0,0.47,-58.927275,0.92960394,0.3467788,1.0
84.34292,0.0,299.99,0.39312726,0.0,0.47,-58.927275,0.92612122,0.33737168,1.0
80.66652,0.0,299.99,0.36697876,0.0,0.47,-58.927275,0.92369886,0.32266608,1.0
76.50454,0.0,299.99,0.34197004,0.0,0.47,-58.927275,0.9224585,0.30601816,1.0
71.42867,0.0,299.99,0.31825164,0.0,0.47,-58.927275,0.92071178,0.28571468,1.0
65.9826,0.0,299.99,0.29610689,0.0,0.47,-58.927275,0.92388978,0.2639304,1.0
60.23455,0.0,299.99,0.27565057,0.0,0.47,-58.927275,0.91902002,0.2409382,1.0
54.4076,0.0,299.99,0.25697629,0.0,0.47,-58.927275,0.91829834,0.2176304,1.0
48.61062,0.0,299.99,0.24010852,0.0,0.47,-58.927275,0.9176157,0.19444248,1.0
43.07284,0.0,299.99,0.22503796,0.0,0.47,-58.927275,0.91612402,0.17229136,1.0
37.68798,0.0,299.99,0.21168426,0.0,0.47,-58.927275,0.91403746,0.15075192,1.0
32.76937,0.0,299.99,0.2,0.0,0.47,-58.927275,0.9107659,0.13107748,1.0
